,index,0,1,2,3,4,5,6,7
281,281,          0.00,       2321.10,       2321.10,       2247.33,         73.77,          0.00,          0.00,       2321.10
282,282,          0.00,       8068.33,       8068.33,       8068.33,          0.00,          0.00,        331.67,          0.00
283,283,         56.67,         51.78,        108.45,        108.45,          0.00,          0.00,         48.22,          0.00
284,284,       4766.06,      15985.95,      20752.01,      18009.73,       2742.28,          0.00,          0.00,       1485.95
285,285,      24166.08,      58524.73,      82690.81,      72955.09,       9735.72,          0.00,       1475.27,          0.00
286,286,          0.00,      15705.30,      15705.30,      15705.30,          0.00,          0.00,          0.00,       6705.30
287,287,          0.00,       4163.43,       4163.43,       4163.43,          0.00,          0.00,          0.00,         63.43
288,288,          0.00,       3672.00,       3672.00,       3672.00,          0.00,          0.00,      11328.00,          0.00
289,289,       8629.83,       8553.41,      17183.24,      17183.24,          0.00,          0.00,        346.59,          0.00
290,290,      31969.40,      65947.64,      97917.04,      87852.13,      10064.91,          0.00,      11352.36,          0.00
291,291,          0.00,       2251.04,       2251.04,       2251.04,          0.00,          0.00,         48.96,          0.00
292,292,        294.17,       1589.96,       1884.13,       1561.00,        323.13,          0.00,          0.00,        889.96
293,293,          0.00,       3179.16,       3179.16,       3179.16,          0.00,          0.00,       1820.84,          0.00
294,294,        388.38,        210.73,        599.11,        519.70,         79.41,          0.00,        889.27,          0.00
295,295,          0.00,        384.00,        384.00,        384.00,          0.00,          0.00,       2216.00,          0.00
296,296,          0.00,      94470.00,      94470.00,      94470.00,          0.00,          0.00,         30.00,          0.00
